# Every `pro` command path the CLI shipped before spec-derived naming, with the
# shape it had then and the shape it has now. See invocation_sweep_test.go.
#
# Columns: invocation <TAB> was <TAB> now
#   leaf  — resolves to a command that runs and returns a result
#   group — resolves to a parent, which prints help and exits 0
#   gone  — no longer resolves at all (`now` only)
#
# A `leaf`->`group` row is the worst shape a rename can take and there are three:
# the path still resolves and still exits 0, and a script piping it into jq gets
# help text instead of data. Recorded here and in CHANGELOG.md's migration table.
pro classic-ibeacons create	leaf	leaf
pro classic-ibeacons delete	leaf	leaf
pro classic-ibeacons get	leaf	leaf
pro classic-ibeacons list	leaf	leaf
pro classic-ibeacons update	leaf	leaf
pro classic-jwt-configs	group	group
pro classic-jwt-configs create	leaf	leaf
pro classic-jwt-configs delete	leaf	leaf
pro classic-jwt-configs get	leaf	leaf
pro classic-jwt-configs list	leaf	leaf
pro classic-jwt-configs update	leaf	leaf
pro classic-ldap-servers	group	group
pro classic-ldap-servers apply	leaf	leaf
pro classic-ldap-servers create	leaf	leaf
pro classic-ldap-servers delete	leaf	leaf
pro classic-ldap-servers get	leaf	leaf
pro classic-ldap-servers list	leaf	leaf
pro classic-ldap-servers update	leaf	leaf
pro classic-ldaps	group	group
pro classic-ldaps get	leaf	leaf
pro classic-licensed-software	group	group
pro classic-licensed-software apply	leaf	leaf
pro classic-licensed-software create	leaf	leaf
pro classic-licensed-software delete	leaf	leaf
pro classic-licensed-software get	leaf	leaf
pro classic-licensed-software list	leaf	leaf
pro classic-licensed-software update	leaf	leaf
pro classic-mac-apps	group	group
pro classic-mac-apps apply	leaf	leaf
pro classic-mac-apps create	leaf	leaf
pro classic-mac-apps delete	leaf	leaf
pro classic-mac-apps get	leaf	leaf
pro classic-mac-apps list	leaf	leaf
pro classic-mac-apps scope	group	group
pro classic-mac-apps scope add	leaf	leaf
pro classic-mac-apps scope get	leaf	leaf
pro classic-mac-apps scope remove	leaf	leaf
pro classic-mac-apps update	leaf	leaf
pro classic-macos-config-profiles	group	group
pro classic-macos-config-profiles apply	leaf	leaf
pro classic-macos-config-profiles create	leaf	leaf
pro classic-macos-config-profiles delete	leaf	leaf
pro classic-macos-config-profiles get	leaf	leaf
pro classic-macos-config-profiles list	leaf	leaf
pro classic-macos-config-profiles scope	group	group
pro classic-macos-config-profiles scope add	leaf	leaf
pro classic-macos-config-profiles scope get	leaf	leaf
pro classic-macos-config-profiles scope remove	leaf	leaf
pro classic-macos-config-profiles update	leaf	leaf
pro classic-mobile-apps	group	group
pro classic-mobile-apps apply	leaf	leaf
pro classic-mobile-apps create	leaf	leaf
pro classic-mobile-apps delete	leaf	leaf
pro classic-mobile-apps get	leaf	leaf
pro classic-mobile-apps list	leaf	leaf
pro classic-mobile-apps scope	group	group
pro classic-mobile-apps scope add	leaf	leaf
pro classic-mobile-apps scope get	leaf	leaf
pro classic-mobile-apps scope remove	leaf	leaf
pro classic-mobile-apps update	leaf	leaf
pro classic-mobile-commands	group	group
pro classic-mobile-commands list	leaf	leaf
pro classic-mobile-config-profiles	group	group
pro classic-mobile-config-profiles apply	leaf	leaf
pro classic-mobile-config-profiles create	leaf	leaf
pro classic-mobile-config-profiles delete	leaf	leaf
pro classic-mobile-config-profiles get	leaf	leaf
pro classic-mobile-config-profiles list	leaf	leaf
pro classic-mobile-config-profiles scope	group	group
pro classic-mobile-config-profiles scope add	leaf	leaf
pro classic-mobile-config-profiles scope get	leaf	leaf
pro classic-mobile-config-profiles scope remove	leaf	leaf
pro classic-mobile-config-profiles update	leaf	leaf
pro classic-mobile-device-groups	group	group
pro classic-mobile-device-groups apply	leaf	leaf
pro classic-mobile-device-groups create	leaf	leaf
pro classic-mobile-device-groups delete	leaf	leaf
pro classic-mobile-device-groups get	leaf	leaf
pro classic-mobile-device-groups list	leaf	leaf
pro classic-mobile-device-groups update	leaf	leaf
pro classic-mobile-devices	group	group
pro classic-mobile-devices apply	leaf	leaf
pro classic-mobile-devices create	leaf	leaf
pro classic-mobile-devices delete	leaf	leaf
pro classic-mobile-devices get	leaf	leaf
pro classic-mobile-devices list	leaf	leaf
pro classic-mobile-devices update	leaf	leaf
pro classic-mobile-history	group	group
pro classic-mobile-history get	leaf	leaf
pro classic-mobile-invitations	group	group
pro classic-mobile-invitations create	leaf	leaf
pro classic-mobile-invitations delete	leaf	leaf
pro classic-mobile-invitations get	leaf	leaf
pro classic-mobile-invitations list	leaf	leaf
pro classic-mobile-provisioning-profiles	group	group
pro classic-mobile-provisioning-profiles apply	leaf	leaf
pro classic-mobile-provisioning-profiles create	leaf	leaf
pro classic-mobile-provisioning-profiles delete	leaf	leaf
pro classic-mobile-provisioning-profiles get	leaf	leaf
pro classic-mobile-provisioning-profiles list	leaf	leaf
pro classic-mobile-provisioning-profiles update	leaf	leaf
pro classic-network-segments	group	group
pro classic-network-segments apply	leaf	leaf
pro classic-network-segments create	leaf	leaf
pro classic-network-segments delete	leaf	leaf
pro classic-network-segments get	leaf	leaf
pro classic-network-segments list	leaf	leaf
pro classic-network-segments update	leaf	leaf
pro classic-packages	group	group
pro classic-packages apply	leaf	leaf
pro classic-packages create	leaf	leaf
pro classic-packages delete	leaf	leaf
pro classic-packages get	leaf	leaf
pro classic-packages list	leaf	leaf
pro classic-packages update	leaf	leaf
pro classic-patch-available-titles	group	group
pro classic-patch-available-titles get	leaf	leaf
pro classic-patch-external-sources	group	group
pro classic-patch-external-sources apply	leaf	leaf
pro classic-patch-external-sources create	leaf	leaf
pro classic-patch-external-sources delete	leaf	leaf
pro classic-patch-external-sources get	leaf	leaf
pro classic-patch-external-sources list	leaf	leaf
pro classic-patch-external-sources update	leaf	leaf
pro classic-patch-internal-sources	group	group
pro classic-patch-internal-sources get	leaf	leaf
pro classic-patch-internal-sources list	leaf	leaf
pro classic-patch-policies	group	group
pro classic-patch-policies create	leaf	leaf
pro classic-patch-policies delete	leaf	leaf
pro classic-patch-policies get	leaf	leaf
pro classic-patch-policies list	leaf	leaf
pro classic-patch-policies update	leaf	leaf
pro classic-patch-reports	group	group
pro classic-patch-reports get	leaf	leaf
pro classic-patch-titles	group	group
pro classic-patch-titles apply	leaf	leaf
pro classic-patch-titles create	leaf	leaf
pro classic-patch-titles delete	leaf	leaf
pro classic-patch-titles get	leaf	leaf
pro classic-patch-titles list	leaf	leaf
pro classic-patch-titles update	leaf	leaf
pro classic-policies	group	group
pro classic-policies apply	leaf	leaf
pro classic-policies create	leaf	leaf
pro classic-policies delete	leaf	leaf
pro classic-policies get	leaf	leaf
pro classic-policies list	leaf	leaf
pro classic-policies scope	group	group
pro classic-policies scope add	leaf	leaf
pro classic-policies scope get	leaf	leaf
pro classic-policies scope remove	leaf	leaf
pro classic-policies update	leaf	leaf
pro classic-printers	group	group
pro classic-printers apply	leaf	leaf
pro classic-printers create	leaf	leaf
pro classic-printers delete	leaf	leaf
pro classic-printers get	leaf	leaf
pro classic-printers list	leaf	leaf
pro classic-printers update	leaf	leaf
pro classic-removable-mac-addresses	group	group
pro classic-removable-mac-addresses apply	leaf	leaf
pro classic-removable-mac-addresses create	leaf	leaf
pro classic-removable-mac-addresses delete	leaf	leaf
pro classic-removable-mac-addresses get	leaf	leaf
pro classic-removable-mac-addresses list	leaf	leaf
pro classic-removable-mac-addresses update	leaf	leaf
pro classic-restricted-software	group	group
pro classic-restricted-software apply	leaf	leaf
pro classic-restricted-software create	leaf	leaf
pro classic-restricted-software delete	leaf	leaf
pro classic-restricted-software get	leaf	leaf
pro classic-restricted-software list	leaf	leaf
pro classic-restricted-software scope	group	group
pro classic-restricted-software scope add	leaf	leaf
pro classic-restricted-software scope get	leaf	leaf
pro classic-restricted-software scope remove	leaf	leaf
pro classic-restricted-software update	leaf	leaf
pro classic-smtp-server	group	group
pro classic-smtp-server get	leaf	leaf
pro classic-smtp-server update	leaf	leaf
pro classic-software-update-servers	group	group
pro classic-software-update-servers apply	leaf	leaf
pro classic-software-update-servers create	leaf	leaf
pro classic-software-update-servers delete	leaf	leaf
pro classic-software-update-servers get	leaf	leaf
pro classic-software-update-servers list	leaf	leaf
pro classic-software-update-servers update	leaf	leaf
pro classic-user-ext-attrs	group	group
pro classic-user-ext-attrs apply	leaf	leaf
pro classic-user-ext-attrs create	leaf	leaf
pro classic-user-ext-attrs delete	leaf	leaf
pro classic-user-ext-attrs get	leaf	leaf
pro classic-user-ext-attrs list	leaf	leaf
pro classic-user-ext-attrs update	leaf	leaf
pro classic-user-groups	group	group
pro classic-user-groups apply	leaf	leaf
pro classic-user-groups create	leaf	leaf
pro classic-user-groups delete	leaf	leaf
pro classic-user-groups get	leaf	leaf
pro classic-user-groups list	leaf	leaf
pro classic-user-groups update	leaf	leaf
pro classic-vpp-accounts	group	group
pro classic-vpp-accounts create	leaf	leaf
pro classic-vpp-accounts delete	leaf	leaf
pro classic-vpp-accounts get	leaf	leaf
pro classic-vpp-accounts list	leaf	leaf
pro classic-vpp-accounts update	leaf	leaf
pro classic-vpp-assignments	group	group
pro classic-vpp-assignments create	leaf	leaf
pro classic-vpp-assignments delete	leaf	leaf
pro classic-vpp-assignments get	leaf	leaf
pro classic-vpp-assignments list	leaf	leaf
pro classic-vpp-assignments scope	group	group
pro classic-vpp-assignments scope add	leaf	leaf
pro classic-vpp-assignments scope get	leaf	leaf
pro classic-vpp-assignments scope remove	leaf	leaf
pro classic-vpp-assignments update	leaf	leaf
pro classic-vpp-invitations	group	group
pro classic-vpp-invitations create	leaf	leaf
pro classic-vpp-invitations delete	leaf	leaf
pro classic-vpp-invitations get	leaf	leaf
pro classic-vpp-invitations list	leaf	leaf
pro classic-vpp-invitations scope	group	group
pro classic-vpp-invitations scope add	leaf	leaf
pro classic-vpp-invitations scope get	leaf	leaf
pro classic-vpp-invitations scope remove	leaf	leaf
pro classic-webhooks	group	group
pro classic-webhooks apply	leaf	leaf
pro classic-webhooks create	leaf	leaf
pro classic-webhooks delete	leaf	leaf
pro classic-webhooks get	leaf	leaf
pro classic-webhooks list	leaf	leaf
pro classic-webhooks update	leaf	leaf
pro client-check-in	group	group
pro client-check-in add-history-note	leaf	leaf
pro client-check-in get	leaf	leaf
pro client-check-in history	leaf	leaf
pro client-check-in update	leaf	leaf
pro cloud-azure-defaults	group	group
pro cloud-azure-defaults mappings	leaf	leaf
pro cloud-azure-defaults server-configuration	leaf	leaf
pro cloud-azures	group	group
pro cloud-azures create	leaf	leaf
pro cloud-azures delete	leaf	leaf
pro cloud-azures get	leaf	leaf
pro cloud-azures update	leaf	leaf
pro cloud-distribution-points	group	group
pro cloud-distribution-points action	leaf	leaf
pro cloud-distribution-points add-history-note	leaf	leaf
pro cloud-distribution-points cloud-distribution-point	leaf	gone
pro cloud-distribution-points create	leaf	leaf
pro cloud-distribution-points delete	leaf	leaf
pro cloud-distribution-points files	leaf	leaf
pro cloud-distribution-points history	leaf	leaf
pro cloud-distribution-points patch	leaf	leaf
pro cloud-distribution-points refresh-inventory	leaf	leaf
pro cloud-distribution-points test-connection	leaf	leaf
pro cloud-distribution-points upload-capability	leaf	leaf
pro cloud-id-p-configurations	group	group
pro cloud-id-p-configurations export	leaf	leaf
pro cloud-id-p-configurations get	leaf	leaf
pro cloud-id-p-configurations list	leaf	leaf
pro cloud-id-p-histories	group	group
pro cloud-id-p-histories add-history-note	leaf	leaf
pro cloud-id-p-histories history	leaf	leaf
pro cloud-id-p-test-searches	group	group
pro cloud-id-p-test-searches test-group	leaf	leaf
pro cloud-id-p-test-searches test-user	leaf	leaf
pro cloud-id-p-test-searches test-user-membership	leaf	leaf
pro cloud-informations	group	group
pro cloud-informations list	leaf	leaf
pro cloud-ldap-connections	group	group
pro cloud-ldap-connections bind	leaf	leaf
pro cloud-ldap-connections search	leaf	leaf
pro cloud-ldap-connections status	leaf	leaf
pro cloud-ldap-defaults	group	group
pro cloud-ldap-defaults mappings	leaf	leaf
pro cloud-ldap-defaults server-configuration	leaf	leaf
pro cloud-ldap-key-stores	group	group
pro cloud-ldap-key-stores verify	leaf	leaf
pro cloud-ldap-mappings	group	group
pro cloud-ldap-mappings mappings	leaf	leaf
pro cloud-ldap-mappings update-mappings	leaf	leaf
pro cloud-ldaps	group	group
pro cloud-ldaps create	leaf	leaf
pro cloud-ldaps delete	leaf	leaf
pro cloud-ldaps get	leaf	leaf
pro cloud-ldaps update	leaf	leaf
pro compliance-benchmarks	group	group
pro compliance-benchmarks apply	leaf	leaf
pro compliance-benchmarks clone	leaf	leaf
pro compliance-benchmarks delete	leaf	leaf
pro compliance-benchmarks export	leaf	leaf
pro compliance-benchmarks get	leaf	leaf
pro compliance-benchmarks list	leaf	leaf
pro computer-extension-attributes	group	group
pro computer-extension-attributes add-history-note	leaf	leaf
pro computer-extension-attributes apply	leaf	leaf
pro computer-extension-attributes create	leaf	leaf
pro computer-extension-attributes data-dependency	leaf	leaf
pro computer-extension-attributes delete	leaf	leaf
pro computer-extension-attributes delete-multiple	leaf	leaf
pro computer-extension-attributes download	leaf	leaf
pro computer-extension-attributes get	leaf	leaf
pro computer-extension-attributes history	leaf	leaf
pro computer-extension-attributes list	leaf	leaf
pro computer-extension-attributes update	leaf	leaf
pro computer-extension-attributes upload	leaf	leaf
pro computer-groups	group	group
pro computer-groups get	leaf	leaf
pro computer-groups-smart-groups	group	group
pro computer-groups-smart-groups apply	leaf	leaf
