# Endpoints reachable from `pro` before path-derived resource naming.
# resource<TAB>operation<TAB>method<TAB>path<TAB>nameField<TAB>idField
# Generated once from the 165-file spec layout at its final commit.
cloud-id-p-configurations	export	POST	/v1/cloud-idp/export	displayName	id
cloud-id-p-configurations	get	GET	/v1/cloud-idp/{id}	displayName	id
cloud-id-p-configurations	list	GET	/v1/cloud-idp	displayName	id
cloud-id-p-histories	add-history-note	POST	/v1/cloud-idp/{id}/history	name	id
cloud-id-p-histories	history	GET	/v1/cloud-idp/{id}/history	name	id
cloud-id-p-test-searches	test-group	POST	/v1/cloud-idp/{id}/test-group	name	id
cloud-id-p-test-searches	test-user	POST	/v1/cloud-idp/{id}/test-user	name	id
cloud-id-p-test-searches	test-user-membership	POST	/v1/cloud-idp/{id}/test-user-membership	name	id
cloud-informations	list	GET	/v1/cloud-information	name	id
cloud-ldap-connections	bind	GET	/v2/cloud-ldaps/{id}/connection/bind	name	id
cloud-ldap-connections	search	GET	/v2/cloud-ldaps/{id}/connection/search	name	id
cloud-ldap-connections	status	GET	/v2/cloud-ldaps/{id}/connection/status	name	id
cloud-ldap-defaults	mappings	GET	/v2/cloud-ldaps/defaults/{provider}/mappings	name	id
cloud-ldap-defaults	server-configuration	GET	/v2/cloud-ldaps/defaults/{provider}/server-configuration	name	id
cloud-ldap-key-stores	verify	POST	/v1/ldap-keystore/verify	name	id
cloud-ldap-mappings	mappings	GET	/v2/cloud-ldaps/{id}/mappings	name	id
cloud-ldap-mappings	update-mappings	PUT	/v2/cloud-ldaps/{id}/mappings	name	id
cloud-ldaps	create	POST	/v2/cloud-ldaps	name	id
cloud-ldaps	delete	DELETE	/v2/cloud-ldaps/{id}	name	id
cloud-ldaps	get	GET	/v2/cloud-ldaps/{id}	name	id
cloud-ldaps	update	PUT	/v2/cloud-ldaps/{id}	name	id
computer-extension-attributes	add-history-note	POST	/v1/computer-extension-attributes/{id}/history	name	id
computer-extension-attributes	create	POST	/v1/computer-extension-attributes	name	id
computer-extension-attributes	data-dependency	GET	/v1/computer-extension-attributes/{id}/data-dependency	name	id
computer-extension-attributes	delete	DELETE	/v1/computer-extension-attributes/{id}	name	id
computer-extension-attributes	delete-multiple	POST	/v1/computer-extension-attributes/delete-multiple	name	id
computer-extension-attributes	download	GET	/v1/computer-extension-attributes/{id}/download	name	id
computer-extension-attributes	get	GET	/v1/computer-extension-attributes/templates/{id}	name	id
computer-extension-attributes	get	GET	/v1/computer-extension-attributes/{id}	name	id
computer-extension-attributes	history	GET	/v1/computer-extension-attributes/{id}/history	name	id
computer-extension-attributes	list	GET	/v1/computer-extension-attributes	name	id
computer-extension-attributes	list	GET	/v1/computer-extension-attributes/templates	name	id
computer-extension-attributes	update	PUT	/v1/computer-extension-attributes/{id}	name	id
computer-extension-attributes	upload	POST	/v1/computer-extension-attributes/upload	name	id
computer-groups	get	GET	/v3/computer-groups/smart-group-membership/{id}	name	id
computer-groups	list	GET	/v1/computer-groups	name	id
computer-groups-smart-groups	create	POST	/v3/computer-groups/smart-groups	name	id
computer-groups-smart-groups	delete	DELETE	/v3/computer-groups/smart-groups/{id}	name	id
computer-groups-smart-groups	get	GET	/v3/computer-groups/smart-groups/{id}	name	id
computer-groups-smart-groups	list	GET	/v3/computer-groups/smart-groups	name	id
computer-groups-smart-groups	update	PUT	/v3/computer-groups/smart-groups/{id}	name	id
computer-groups-static-groups	create	POST	/v3/computer-groups/static-groups	name	id
computer-groups-static-groups	delete	DELETE	/v3/computer-groups/static-groups/{id}	name	id
computer-groups-static-groups	get	GET	/v3/computer-groups/static-groups/{id}	name	id
computer-groups-static-groups	list	GET	/v3/computer-groups/static-groups	name	id
computer-groups-static-groups	update	PUT	/v3/computer-groups/static-groups/{id}	name	id
computer-inventory-collection-settings	create	POST	/v2/computer-inventory-collection-settings/custom-path	name	id
computer-inventory-collection-settings	delete	DELETE	/v2/computer-inventory-collection-settings/custom-path/{id}	name	id
computer-inventory-collection-settings	list	GET	/v2/computer-inventory-collection-settings	name	id
computer-inventory-collection-settings	patch	PATCH	/v2/computer-inventory-collection-settings	name	id
computer-prestage-scopes	create-scope	POST	/v2/computer-prestages/{id}/scope	name	id
computer-prestage-scopes	delete-multiple	POST	/v2/computer-prestages/{id}/scope/delete-multiple	name	id
computer-prestage-scopes	list	GET	/v2/computer-prestages/scope	name	id
computer-prestage-scopes	scope	GET	/v2/computer-prestages/{id}/scope	name	id
computer-prestage-scopes	update-scope	PUT	/v2/computer-prestages/{id}/scope	name	id
computer-prestages	create	POST	/v3/computer-prestages	displayName	id
computer-prestages	delete	DELETE	/v3/computer-prestages/{id}	displayName	id
computer-prestages	get	GET	/v3/computer-prestages/{id}	displayName	id
computer-prestages	list	GET	/v3/computer-prestages	displayName	id
computer-prestages	update	PUT	/v3/computer-prestages/{id}	displayName	id
computer-smart-groups	recalculate	POST	/v1/smart-computer-groups/{id}/recalculate	name	id
computer-smart-groups	recalculate-smart-groups	POST	/v1/computers/{id}/recalculate-smart-groups	name	id
computers	list	GET	/preview/computers	name	id
computers-inventory	create	POST	/v4/computers-inventory	general.name	id
computers-inventory	delete	DELETE	/v4/computers-inventory/{id}	general.name	id
computers-inventory	delete	DELETE	/v4/computers-inventory/{id}/attachments/{attachmentId}	general.name	id
computers-inventory	download	GET	/v4/computers-inventory/{id}/attachments/{attachmentId}	general.name	id
computers-inventory	erase	POST	/v4/computers-inventory/{id}/erase	general.name	id
computers-inventory	filevault	GET	/v4/computers-inventory/filevault	general.name	id
computers-inventory	filevault-by-id	GET	/v4/computers-inventory/{id}/filevault	general.name	id
